Arguments:
  JK: False
  cfg: configs/pubmed/virtual_gcn.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 2
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: True
  wandb: False
  wd: 0.0005
loading cluster edges from: cluster_data/Pubmed_cluster_adj_2.pt
cluster edges: 4, total cluster edges:2
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (vns): VirtualNode(
    (vn_emb): Embedding(2, 500)
    (mlp_vns): ModuleList(
      (0): Sequential(
        (0): Linear(in_features=500, out_features=16, bias=True)
        (1): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
        (2): ReLU()
      )
    )
    (convs): ModuleList(
      (0): GCNConv(500, 500)
      (1): GCNConv(16, 16)
    )
    (bns): ModuleList()
  )
)
Parameters:
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|      convs.0.bias      |     16     |
|   convs.0.lin.weight   |    8000    |
|      convs.1.bias      |     3      |
|   convs.1.lin.weight   |     48     |
|      bns.0.weight      |     16     |
|       bns.0.bias       |     16     |
|   vns.vn_emb.weight    |    1000    |
| vns.mlp_vns.0.0.weight |    8000    |
|  vns.mlp_vns.0.0.bias  |     16     |
| vns.mlp_vns.0.1.weight |     16     |
|  vns.mlp_vns.0.1.bias  |     16     |
|    vns.convs.0.bias    |    500     |
| vns.convs.0.lin.weight |   250000   |
|    vns.convs.1.bias    |     16     |
| vns.convs.1.lin.weight |    256     |
+------------------------+------------+
Total Trainable Params: 267919

Start Training...
Run: 01, Epoch: 69, Train Loss: 0.7320, Valid Loss:  0.7840, Test Loss:  0.8219,  Train Acc: 75.00%, Valid Acc: 74.00%, Test Acc: 71.20%
Run: 01, Epoch: 70, Train Loss: 0.7235, Valid Loss:  0.7959, Test Loss:  0.8342,  Train Acc: 78.33%, Valid Acc: 74.60%, Test Acc: 71.50%
Run: 01, Epoch: 71, Train Loss: 0.7419, Valid Loss:  0.8710, Test Loss:  0.9105,  Train Acc: 71.67%, Valid Acc: 60.60%, Test Acc: 58.70%
Run: 01, Epoch: 72, Train Loss: 0.7620, Valid Loss:  0.9095, Test Loss:  0.9532,  Train Acc: 66.67%, Valid Acc: 56.60%, Test Acc: 55.10%
Run: 01, Epoch: 73, Train Loss: 0.6878, Valid Loss:  0.7813, Test Loss:  0.8219,  Train Acc: 80.00%, Valid Acc: 75.60%, Test Acc: 71.80%
Run: 01, Epoch: 74, Train Loss: 0.7675, Valid Loss:  0.7681, Test Loss:  0.8048,  Train Acc: 61.67%, Valid Acc: 66.00%, Test Acc: 63.70%
Run: 01, Epoch: 75, Train Loss: 0.6762, Valid Loss:  0.7470, Test Loss:  0.7871,  Train Acc: 76.67%, Valid Acc: 74.80%, Test Acc: 71.10%
Run: 01, Epoch: 76, Train Loss: 0.7224, Valid Loss:  0.8462, Test Loss:  0.8936,  Train Acc: 61.67%, Valid Acc: 53.60%, Test Acc: 52.50%
Run: 01, Epoch: 77, Train Loss: 0.6987, Valid Loss:  0.8169, Test Loss:  0.8691,  Train Acc: 71.67%, Valid Acc: 64.00%, Test Acc: 63.70%
Run: 01, Epoch: 78, Train Loss: 0.6832, Valid Loss:  0.7364, Test Loss:  0.7859,  Train Acc: 73.33%, Valid Acc: 73.40%, Test Acc: 69.80%
Run: 01, Epoch: 79, Train Loss: 0.6813, Valid Loss:  0.7263, Test Loss:  0.7731,  Train Acc: 73.33%, Valid Acc: 72.80%, Test Acc: 69.50%
Run: 01, Epoch: 80, Train Loss: 0.6600, Valid Loss:  0.7180, Test Loss:  0.7600,  Train Acc: 75.00%, Valid Acc: 73.40%, Test Acc: 71.40%
Run: 01, Epoch: 81, Train Loss: 0.6559, Valid Loss:  0.7493, Test Loss:  0.7882,  Train Acc: 75.00%, Valid Acc: 72.80%, Test Acc: 69.30%
Run: 01, Epoch: 82, Train Loss: 0.6580, Valid Loss:  0.7831, Test Loss:  0.8226,  Train Acc: 75.00%, Valid Acc: 68.00%, Test Acc: 65.90%
Run: 01, Epoch: 83, Train Loss: 0.6321, Valid Loss:  0.7425, Test Loss:  0.7811,  Train Acc: 81.67%, Valid Acc: 75.80%, Test Acc: 71.90%
